#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Channel_Type,Subscribers,Total_Views,Total_Videos
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,"Entertainment, Film, Music, Music of Asia, Pop music",311000000,338639147341,25954
2,Cocomelon - Nursery Rhymes @UCbCmjCuTUZos6Inko4u57UQ,144M,-,United States,,43.2M,"Music, Entertainment, Film",201000000,220643346375,1978
3,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,"Music of Asia, Entertainment, Television program, Film, Music, Pop music",189000000,187843265315,169753
4,PewDiePie @UC-lHJZR3Gqxm24_Vd_AJ5Yw,111M,0.1%,United States,,33.3M,Lifestyle (sociology),110000000,29491284943,4661
5,MrBeast @UCX6OQ3DkcsbYNE6H8uQQuVA,100M,2.4%,United States,Celebrity Pets,30M,"Lifestyle (sociology), Entertainment",479000000,118852656685,967
6,Like Nastya @UCJplp5SjeGSdVdwsfb9Q7lQ,97.3M,-,United States,,29.2M,"Lifestyle (sociology), Hobby",132000000,120332194558,1065
7,✿ Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94.2M,-,,,28.3M,"Hobby, Entertainment, Lifestyle (sociology)",138000000,123898353610,1609
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,"Film, Pop music, Music of Asia, Music, Entertainment",122000000,87634993836,16132
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91.2M,-,,,27.4M,"Entertainment, Professional wrestling, Sport, Lifestyle (sociology), Performing arts",113000000,103657498252,93002
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84.3M,-,United States,Marketing and Advertising Music,25.3M,"Lifestyle (sociology), Hobby",149000000,120585105709,1013
11,BLACKPINK @UCOmHUn--16B90oW2L6FRR3A,82M,0.4%,South Korea,,24.6M,"Electronic music, Music, Pop music, Music of Asia",101000000,41756433903,666
12,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,"Film, Entertainment",109000000,32043796853,13513
13,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,"Rhythm and blues, Electronic music, Pop music, Music, Soul music, Hip hop music",78000000,37884178576,278
14,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,"Entertainment, Television program, Film, Humour",105000000,142293308370,110363
15,BANGTANTV @UCLkAepWjdylmXSltofFvsYQ,68.6M,0.5%,,,20.6M,"Pop music, Music of Asia, Music",83900000,27641400714,3017
16,HYBE LABELS @UC3IZKseVpdzPSBaWxBxundA,68.1M,-,South Korea,Celebrity Music,20.4M,"Pop music, Music, Music of Asia, Entertainment",80900000,45057997018,3154
17,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M,"Music of Latin America, Music, Hip hop music, Electronic music",68100000,40284184583,3587
18,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,"Film, Television program, Entertainment",97600000,115700284131,233238
19,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,"Entertainment, Music of Asia, Music, Film",74400000,35345306718,10043
20,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,"Film, Television program, Entertainment",82000000,1691827856,81701
21,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,"Entertainment, Film, Music",98100000,59109137886,1094
22,Dude Perfect @UCRijo3ddMTht_IHyNSNXpNQ,58.6M,-,United States,,17.6M,"Entertainment, Sport, Lifestyle (sociology), Basketball",61900000,20459972352,562
23,Movieclips @UC3gNmTGu-TTbFPpfSs5kNkg,58.5M,-,United States,,17.6M,"Film, Entertainment",66100000,69286920468,44583
24,Pinkfong Baby Shark - Kids' Songs & Stories @UCcdwLMPsaU2ezNSJU1nFoBQ,56.9M,-,,,17.1M,"Film, Entertainment, Music",84400000,55127718285,3847
25,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M,"Soul music, Music, Music of Asia",81200000,55265525714,9677
26,Marshmello @UCEdvpU2pFRCVqU6yIPyTpMQ,55.8M,-,United States,,16.7M,"Electronic music, Music, Pop music, Hip hop music",58500000,17767625623,569
27,Wave Music @bhojpuriwave,55.6M,-,India,,16.7M,"Music of Asia, Music",70000000,48579726453,21180
28,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55.3M,-,India,,16.6M,"Film, Pop music, Music of Asia, Music, Soul music",70800000,66107525459,11932
29,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M,"Society, Politics",75000000,45243939232,641493
30,El Reino Infantil @UCK1i2UviaXLUNrZlAFpw_jA,52.9M,-,,,15.9M,"Film, Entertainment, Music",71100000,72702392350,2113
31,Ed Sheeran @UC0C-w0YjGpqDXGB8IHb662A,52.3M,-,,,15.7M,"Music, Pop music",59100000,37871179947,754
32,Ariana Grande @UC9CoOnJkIBMdeijd9qYoT_g,52.2M,-,,,15.7M,"Electronic music, Pop music, Music",57100000,31678643998,233
33,EminemMusic @UCfM3zsQsOnfWNUppiycmBuw,51.7M,1%,,,15.5M,"Pop music, Hip hop music, Music",66700000,36924540137,210
34,T-Series Bhakti Sagar @UCaayLD9i5x4MmIoVZxXSv_g,49.9M,-,,,15M,"Entertainment, Music of Asia, Music, Religion, Society",81900000,47196429149,32093
35,LooLoo Kids - Nursery Rhymes and Children's Songs @UC4NALVCmcmL5ntpV0thoH6w,49.4M,-,United States,,14.8M,"Film, Music, Entertainment",62000000,40820009514,962
36,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,India,,14.5M,"Entertainment, Film, Music of Asia, Music",71700000,57464997239,4947
37,Taylor Swift @UCqECaJ8Gagnn7YCbPEzWH6g,47.2M,0.4%,,,14.2M,"Independent music, Pop music, Music",63100000,44563826204,658
38,Fernanfloo @fernanfloo,47.1M,-,El Salvador,,14.1M,"Entertainment, Action-adventure game, Video game culture, Action game",50300000,11061507374,585
